"Downloaded on SAT, 10 SEP 2016 08:05 +0200 from ILOSTAT",,,,,,,,,,
,,,,,,,,,,
Dataset:,Annual indicators,,,,,,,,,
Indicator:,Employment by sex and weekly hours actually worked,,,,,,,,,
Description:," The employed comprise all persons of working age who, during a specified brief period, were in one of the following categories: a) paid employment (whether at work or with a job but not at work); or b) self-employment (whether at work or with an enterprise but not at work). Data are disaggregated by weekly hours actually worked, on the basis of the mean number of hours of work per week, and with reference to hours worked in all jobs of employed persons and in all types of working time arrangements (e.g. full-time and part-time). Hours actually worked include (a) &quot;direct hours&quot; or the time spent carrying out the tasks and duties of a job, (b) &quot;related hours&quot;, or the time spent maintaining, facilitating or enhancing productive activities (c) &quot;down time&quot;, or time when a person in a job cannot work due to machinery or process breakdown, accident, lack of supplies or power or Internet access and (d) &quot;resting time&quot;, or time spent in short periods of rest, relief or refreshment, including tea, coffee or prayer breaks, generally practised by custom or contract according to established norms and/or national circumstances. Hours actually worked excludes time not worked during activities such as: (a) Annual leave, public holidays, sick leave, parental leave or maternity/paternity leave, other leave for personal or family reasons or civic duty, (b) Commuting time between work and home when no productive activity for the job is performed; for paid employment, even when paid by the employer; (c) Time spent in certain educational activities; for paid employment, even when authorized, paid or provided by the employer; (d) Longer breaks distinguished from short resting time when no productive activity is performed (such as meal breaks or natural repose during long trips); for paid employment, even when paid by the employer.",,,,,,,,,
,,,,,,,,,,
Country,Sex,Hour bands,Source,Series footnotes,2015,,,,,
Canada,Total (Sex),30-34 (Hour bands),LFS - Labour Force Survey,,2000.9,,,,,
Canada,Total (Sex),35-39 (Hour bands),LFS - Labour Force Survey,,2610.1,,,,,
Canada,Total (Sex),40-48 (Hour bands),LFS - Labour Force Survey,,5881.3,,,,,
Canada,Total (Sex),49+ (Hour bands),LFS - Labour Force Survey,,2154.4,,,,,
Cayman Islands,Total (Sex),Total (Hour bands),LFS - Labour Force Survey,,39.1,,,,,
Cayman Islands,Total (Sex),01-14 (Hour bands),LFS - Labour Force Survey,,0.3,,,,,
Cayman Islands,Total (Sex),15-29 (Hour bands),LFS - Labour Force Survey,,0.9,,,,,
Cayman Islands,Total (Sex),30-34 (Hour bands),LFS - Labour Force Survey,,1,,,,,
Cayman Islands,Total (Sex),35-39 (Hour bands),LFS - Labour Force Survey,,3.9,,,,,
Cayman Islands,Total (Sex),40-48 (Hour bands),LFS - Labour Force Survey,,25.7,,,,,
Cayman Islands,Total (Sex),49+ (Hour bands),LFS - Labour Force Survey,,7.2,,,,,
Cayman Islands,Total (Sex),Not elsewhere classified (Hour bands),LFS - Labour Force Survey,,0.2,,,,,
Chile,Total (Sex),Total (Hour bands),LFS - Nueva Encuesta Nacional de Empleo,,8136.4,,,,,
Chile,Total (Sex),No hours actually worked (Hour bands),LFS - Nueva Encuesta Nacional de Empleo,,375.9,,,,,
Chile,Total (Sex),01-14 (Hour bands),LFS - Nueva Encuesta Nacional de Empleo,,541,,,,,
Chile,Total (Sex),15-29 (Hour bands),LFS - Nueva Encuesta Nacional de Empleo,,941.4,,,,,
Chile,Total (Sex),30-34 (Hour bands),LFS - Nueva Encuesta Nacional de Empleo,,385.1,,,,,
Chile,Total (Sex),35-39 (Hour bands),LFS - Nueva Encuesta Nacional de Empleo,,758.8,,,,,
Chile,Total (Sex),40-48 (Hour bands),LFS - Nueva Encuesta Nacional de Empleo,,3922.6,,,,,
Chile,Total (Sex),49+ (Hour bands),LFS - Nueva Encuesta Nacional de Empleo,,1209.8,,,,,
Chile,Total (Sex),Not elsewhere classified (Hour bands),LFS - Nueva Encuesta Nacional de Empleo,,1.8,,,,,
Colombia,Total (Sex),Total (Hour bands),LFS - Gran Encuesta Integrada de Hogares,,21795,,,,,
Colombia,Total (Sex),No hours actually worked (Hour bands),LFS - Gran Encuesta Integrada de Hogares,,634,,,,,
Colombia,Total (Sex),01-14 (Hour bands),LFS - Gran Encuesta Integrada de Hogares,,1450,,,,,
Colombia,Total (Sex),15-29 (Hour bands),LFS - Gran Encuesta Integrada de Hogares,,2603,,,,,
Colombia,Total (Sex),30-34 (Hour bands),LFS - Gran Encuesta Integrada de Hogares,,1225,,,,,
Colombia,Total (Sex),35-39 (Hour bands),LFS - Gran Encuesta Integrada de Hogares,,751,,,,,
Colombia,Total (Sex),40-48 (Hour bands),LFS - Gran Encuesta Integrada de Hogares,,8725,,,,,
Colombia,Total (Sex),49+ (Hour bands),LFS - Gran Encuesta Integrada de Hogares,,6407,,,,,
Croatia,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,1589.4,,,,,
Croatia,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,125.8,,,,,
Croatia,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,35.2,,,,,
Croatia,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,98.5,,,,,
Croatia,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,151.8,,,,,
Croatia,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,259.5,,,,,
Croatia,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,825.3,,,,,
Croatia,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,92.6,,,,,
Croatia,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,0.8,,,,,
Cyprus,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,360.7,,,,,
Cyprus,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,25.9,,,,,
Cyprus,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,13.1,,,,,
Cyprus,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,42.3,,,,,
Cyprus,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,40.3,,,,,
Cyprus,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,69.7,,,,,
Cyprus,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,128.6,,,,,
Cyprus,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,40.8,,,,,
Czech Republic,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,5041.9,,,,,
Czech Republic,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,408.6,,,,,
Czech Republic,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,100.3,,,,,
Czech Republic,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,351.4,,,,,
Czech Republic,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,582.5,,,,,
Czech Republic,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,464.6,,,,,
Czech Republic,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,2534.1,,,,,
Czech Republic,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,598.3,,,,,
Czech Republic,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,2,,,,,
Denmark,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,2752,,,,,
Denmark,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,364.4,,,,,
Denmark,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,261,,,,,
Denmark,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,308.6,,,,,
Denmark,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,243.3,,,,,
Denmark,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,921.7,,,,,
Denmark,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,422,,,,,
Denmark,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,231,,,,,
Denmark,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,,,,,,
Dominican Republic,Total (Sex),Total (Hour bands),LFS - Encuesta Nacional de Fuerza de Trabajo,,4309,,,,,
Dominican Republic,Total (Sex),No hours actually worked (Hour bands),LFS - Encuesta Nacional de Fuerza de Trabajo,,0,,,,,
Dominican Republic,Total (Sex),01-14 (Hour bands),LFS - Encuesta Nacional de Fuerza de Trabajo,,136.4,,,,,
Dominican Republic,Total (Sex),15-29 (Hour bands),LFS - Encuesta Nacional de Fuerza de Trabajo,,488.8,,,,,
Dominican Republic,Total (Sex),30-34 (Hour bands),LFS - Encuesta Nacional de Fuerza de Trabajo,,314.4,,,,,
Dominican Republic,Total (Sex),35-39 (Hour bands),LFS - Encuesta Nacional de Fuerza de Trabajo,,198,,,,,
Dominican Republic,Total (Sex),40-48 (Hour bands),LFS - Encuesta Nacional de Fuerza de Trabajo,,2342.3,,,,,
Dominican Republic,Total (Sex),49+ (Hour bands),LFS - Encuesta Nacional de Fuerza de Trabajo,,829.1,,,,,
Ecuador,Total (Sex),Total (Hour bands),"LFS - Encuesta Nacional de Empleo, Desempleo y Subempleo",,7140.6,,,,,
Ecuador,Total (Sex),No hours actually worked (Hour bands),"LFS - Encuesta Nacional de Empleo, Desempleo y Subempleo",,67.6,,,,,
Ecuador,Total (Sex),01-14 (Hour bands),"LFS - Encuesta Nacional de Empleo, Desempleo y Subempleo",,455.3,,,,,
Ecuador,Total (Sex),15-29 (Hour bands),"LFS - Encuesta Nacional de Empleo, Desempleo y Subempleo",,976.2,,,,,
Ecuador,Total (Sex),30-34 (Hour bands),"LFS - Encuesta Nacional de Empleo, Desempleo y Subempleo",,394,,,,,
Ecuador,Total (Sex),35-39 (Hour bands),"LFS - Encuesta Nacional de Empleo, Desempleo y Subempleo",,209,,,,,
Ecuador,Total (Sex),40-48 (Hour bands),"LFS - Encuesta Nacional de Empleo, Desempleo y Subempleo",,3678.9,,,,,
Ecuador,Total (Sex),49+ (Hour bands),"LFS - Encuesta Nacional de Empleo, Desempleo y Subempleo",,1359.6,,,,,
Egypt,Total (Sex),Total (Hour bands),LFS - Labour force sample survey,,24.8,,,,,
Egypt,Total (Sex),01-14 (Hour bands),LFS - Labour force sample survey,,0.2,,,,,
Egypt,Total (Sex),15-29 (Hour bands),LFS - Labour force sample survey,,0.8,,,,,
Egypt,Total (Sex),30-34 (Hour bands),LFS - Labour force sample survey,,0.6,,,,,
Egypt,Total (Sex),35-39 (Hour bands),LFS - Labour force sample survey,,4.6,,,,,
Egypt,Total (Sex),40-48 (Hour bands),LFS - Labour force sample survey,,10.3,,,,,
Egypt,Total (Sex),49+ (Hour bands),LFS - Labour force sample survey,,8.2,,,,,
Estonia,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,640.9,,,,,
Estonia,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,44.1,,,,,
Estonia,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,16.9,,,,,
Estonia,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,77.3,,,,,
Estonia,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,42.8,,,,,
Estonia,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,25.8,,,,,
Estonia,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,397.6,,,,,
Estonia,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,36,,,,,
Estonia,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,0.5,,,,,
Finland,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,2436.8,,,,,
Finland,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,351.9,,,,,
Finland,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,141,,,,,
Finland,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,296.2,,,,,
Finland,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,263.5,,,,,
Finland,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,574.1,,,,,
Finland,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,601.3,,,,,
Finland,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,199.7,,,,,
Finland,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,9,,,,,
France,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,26382.3,,,,,
France,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,3883.1,,,,,
France,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,1167.8,,,,,
France,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,3871.9,,,,,
France,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,2025.5,,,,,
France,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,8325.3,,,,,
France,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,4415,,,,,
France,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,2664.2,,,,,
France,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,29.4,,,,,
Germany,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,40211.1,,,,,
Germany,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,4803.2,,,,,
Germany,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,3571.5,,,,,
Germany,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,5092.7,,,,,
Germany,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,2797.2,,,,,
Germany,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,5973.1,,,,,
Germany,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,14128.2,,,,,
Germany,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,3845.2,,,,,
Greece,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,3610.7,,,,,
Greece,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,136.4,,,,,
Greece,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,97.6,,,,,
Greece,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,420.2,,,,,
Greece,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,316.5,,,,,
Greece,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,76.3,,,,,
Greece,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,1945.4,,,,,
Greece,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,618.3,,,,,
Guatemala,Total (Sex),Total (Hour bands),LFS - Encuesta Nacional de Empleo e Ingresos,,6325.8,,,,,
Guatemala,Total (Sex),01-14 (Hour bands),LFS - Encuesta Nacional de Empleo e Ingresos,,381.1,,,,,
Guatemala,Total (Sex),15-29 (Hour bands),LFS - Encuesta Nacional de Empleo e Ingresos,,1040.6,,,,,
Guatemala,Total (Sex),30-34 (Hour bands),LFS - Encuesta Nacional de Empleo e Ingresos,,435.5,,,,,
Guatemala,Total (Sex),35-39 (Hour bands),LFS - Encuesta Nacional de Empleo e Ingresos,,468.8,,,,,
Guatemala,Total (Sex),40-48 (Hour bands),LFS - Encuesta Nacional de Empleo e Ingresos,,2396.3,,,,,
Guatemala,Total (Sex),49+ (Hour bands),LFS - Encuesta Nacional de Empleo e Ingresos,,1603.4,,,,,
Hungary,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,4210.5,,,,,
Hungary,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,156.6,,,,,
Hungary,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,60.7,,,,,
Hungary,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,321.8,,,,,
Hungary,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,423.2,,,,,
Hungary,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,47.2,,,,,
Hungary,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,2958.5,,,,,
Hungary,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,242.5,,,,,
Iceland,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,183.6,,,,,
Iceland,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,18.1,,,,,
Iceland,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,13.9,,,,,
Iceland,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,22.6,,,,,
Iceland,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,14.3,,,,,
Iceland,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,13.1,,,,,
Iceland,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey,,65.1,,,,,
Iceland,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey,,35.6,,,,,
Iceland,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey,,1,,,,,
Indonesia,Total (Sex),Total (Hour bands),LFS - National Labour Force Survey,,114819.2,,,,,
Indonesia,Total (Sex),No hours actually worked (Hour bands),LFS - National Labour Force Survey,,1976.5,,,,,
Indonesia,Total (Sex),01-14 (Hour bands),LFS - National Labour Force Survey,,6464.8,,,,,
Indonesia,Total (Sex),15-29 (Hour bands),LFS - National Labour Force Survey,,19794.1,,,,,
Indonesia,Total (Sex),30-34 (Hour bands),LFS - National Labour Force Survey,,8054,,,,,
Indonesia,Total (Sex),35-39 (Hour bands),LFS - National Labour Force Survey,,11323.9,,,,,
Indonesia,Total (Sex),40-48 (Hour bands),LFS - National Labour Force Survey,,36989.6,,,,,
Indonesia,Total (Sex),49+ (Hour bands),LFS - National Labour Force Survey,,30216.2,,,,,
"Iran, Islamic Republic of",Total (Sex),Total (Hour bands),LFS - Labour Force Survey,,21972.1,,,,,
"Iran, Islamic Republic of",Total (Sex),No hours actually worked (Hour bands),LFS - Labour Force Survey,,763.2,,,,,
"Iran, Islamic Republic of",Total (Sex),01-14 (Hour bands),LFS - Labour Force Survey,,1010.4,,,,,
"Iran, Islamic Republic of",Total (Sex),15-29 (Hour bands),LFS - Labour Force Survey,,2568.9,,,,,
"Iran, Islamic Republic of",Total (Sex),30-34 (Hour bands),LFS - Labour Force Survey,,1172.9,,,,,
"Iran, Islamic Republic of",Total (Sex),35-39 (Hour bands),LFS - Labour Force Survey,,988.3,,,,,
"Iran, Islamic Republic of",Total (Sex),40-48 (Hour bands),LFS - Labour Force Survey,,7253.5,,,,,
"Iran, Islamic Republic of",Total (Sex),49+ (Hour bands),LFS - Labour Force Survey,,8214.8,,,,,
Ireland,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey ,,1963.6,,,,,
Ireland,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey ,,160,,,,,
Ireland,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey ,,116.3,,,,,
Ireland,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey ,,358.6,,,,,
Ireland,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey ,,180.2,,,,,
Ireland,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey ,,454.8,,,,,
Ireland,Total (Sex),40-48 (Hour bands),LFS - EU Labour Force Survey ,,473.6,,,,,
Ireland,Total (Sex),49+ (Hour bands),LFS - EU Labour Force Survey ,,214.9,,,,,
Ireland,Total (Sex),Not elsewhere classified (Hour bands),LFS - EU Labour Force Survey ,,5.1,,,,,
Italy,Total (Sex),Total (Hour bands),LFS - EU Labour Force Survey,,22464.8,,,,,
Italy,Total (Sex),No hours actually worked (Hour bands),LFS - EU Labour Force Survey,,1876.2,,,,,
Italy,Total (Sex),01-14 (Hour bands),LFS - EU Labour Force Survey,,818.3,,,,,
Italy,Total (Sex),15-29 (Hour bands),LFS - EU Labour Force Survey,,3509.8,,,,,
Italy,Total (Sex),30-34 (Hour bands),LFS - EU Labour Force Survey,,1759.6,,,,,
Italy,Total (Sex),35-39 (Hour bands),LFS - EU Labour Force Survey,,3209.3,,,,,
